RBR,Naziv,Autor,Autor komentara,Autor dodataka,Urednik,Prevoditelj,Ilustrator,Naslov,Godina izdavanja,Tiskar,Mjesto tiskanja,Ustanova,Mjesto,,
61,JACOBUS PHILIPPUS DE BERGAMO,JACOBUS PHILIPPUS DE BERGAMO,,,,,,Supplementum chronicarum,1485,"Dobriæeviæ, Dobriæ",Brescia,"Nacionalna i sveučilišna knjižnica u Zagrebu
Zbirka Baltazara Bogišića
Znanstvena knjižnica","Zagreb
Cavtat
Dubrovnik",,
60,JACOBUS DE VORAGINE,JACOBUS DE VORAGINE,,,,,,"Legenda aurea sanctorum, sive Lombardica historia",1482,"Paltašiæ, Andrija
Scotus, Octavianus",Venecija,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
59,"IUVENALIS, DECIMUS IUNIUS","IUVENALIS, DECIMUS IUNIUS","Calderinus, Domitius",,,,,Satyrae,1488,"Paltašiæ, Andrija",Venecija,Znanstvena knjižnica,Dubrovnik,,
58,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS    ",,,,,,"Vitae sanctorum patrum, sive Vitas patrum",1483,"Scotus, Octavianus",Venecija,"Nacionalna i sveučilišna knjižnica u Zagrebu
Franjevački samostan Navještenja Marijina
Franjevački samostan sv. Ivana Krstitelja
Metropolitanska knjižnica","Zagreb
Košljun
Varaždin
Zagreb",,
57,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS    ",,,,,,"Vitae sanctorum patrum, sive Vitas patrum",1479,"Lichtenstein, Hermann",Vicenza,Nacionalna i sveučilišna knjižnica u Zagrebu,Zagreb,,
56,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS",,,,,,"Vitae sanctorum patrum, sive Vitas patrum",1479,"Girardengus, Nicolaus, de Novis",Venecija,Franjevački samostan sv. Frane,Zadar,,
55,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS",,,,,,"Vitae sanctorum patrum, sive Vitas patrum",1476,"Miscomini, Antonio di Bartolommeo",Venecija,Franjevački samostan Gospe od milosti,Hvar,,"Lichtenstein, Hermann"
54,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS    ",,,,,,Vita et transitus,1490,"Bonaccorsi, Francesco",Firenza,Arheološki muzej,Split,,
53,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS    ",,,,,,Vita et transitus,1487,Hannibal Foxius,Venecija,Nadbiskupski ordinarijat,Zadar,,
52,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS    ",,,,,,Vita et transitus,1485,"Pasqualibus, Peregrinus de
Bertochus, Dominicus",Venecija,"Metropolitanska knjižnica
Metropolitanska knjižnica","Zagreb
Zagreb",,
